id,kepler_name,kepid,predicted_2022,class_2022,class_2025,probability,error
candidate_1568,K02722.01,7673192,1.0,CANDIDATE,CONFIRMED,0.9999999,0
candidate_1569,K02722.02,7673192,1.0,CANDIDATE,CONFIRMED,0.99999905,0
candidate_1570,K02722.03,7673192,1.0,CANDIDATE,CONFIRMED,0.99993277,0
candidate_1571,K02722.04,7673192,1.0,CANDIDATE,CONFIRMED,0.9999999,0
candidate_1576,K03337.02,7692093,0.0,CANDIDATE,FALSE POSITIVE,2.7084016e-11,0
candidate_1588,K06913.01,7755741,0.0,CANDIDATE,FALSE POSITIVE,9.363595e-31,0
candidate_1593,K01840.01,7765528,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_1595,K02869.01,7767162,1.0,CANDIDATE,CONFIRMED,0.9999937,0
candidate_1604,K02523.01,7778767,1.0,CANDIDATE,CONFIRMED,0.999907,0
candidate_1614,K00896.01,7825899,1.0,CANDIDATE,CONFIRMED,0.9999589,0
candidate_1615,K00896.02,7825899,1.0,CANDIDATE,CONFIRMED,0.9999969,0
candidate_1624,K01499.01,7841925,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_1626,K01499.03,7841925,1.0,CANDIDATE,CONFIRMED,0.9999999,0
candidate_1628,K01525.01,7869917,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_1629,K01525.02,7869917,0.0,CANDIDATE,CONFIRMED,0.0054845787,1
candidate_1652,K03214.01,7983117,1.0,CANDIDATE,CONFIRMED,0.9860832,0
candidate_1659,K00316.01,8008067,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_1660,K00316.02,8008067,0.0,CANDIDATE,CONFIRMED,5.130579e-30,1
candidate_1661,K00316.03,8008067,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_1671,K00460.01,8043638,1.0,CANDIDATE,CONFIRMED,0.9999995,0
candidate_1685,K05475.01,8105398,0.0,CANDIDATE,CONFIRMED,1.7837423e-21,1
candidate_1693,K00317.01,8121310,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_1700,K01015.01,8158127,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_1701,K01015.02,8158127,1.0,CANDIDATE,CONFIRMED,0.9999999,0
candidate_1704,K01858.01,8160953,0.0,CANDIDATE,CONFIRMED,1.1103108e-37,1
candidate_1706,K00521.01,8162789,1.0,CANDIDATE,CONFIRMED,0.99889874,0
candidate_1711,K02209.01,8168187,1.0,CANDIDATE,CONFIRMED,0.9999808,0
candidate_1722,K02593.01,8212002,1.0,CANDIDATE,CONFIRMED,0.9999956,0
candidate_1727,K01920.01,8218379,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_1734,K01910.01,8226050,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_1741,K01070.01,8240904,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_1742,K01070.02,8240904,1.0,CANDIDATE,CONFIRMED,0.8863751,0
candidate_1752,K02174.02,8261920,0.0,CANDIDATE,CONFIRMED,4.439518e-14,1
candidate_1753,K02174.03,8261920,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_1762,K01151.01,8280511,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_1763,K01151.02,8280511,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_1764,K01151.03,8280511,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_1767,K02193.01,8282651,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_1787,K03318.01,8331612,0.0,CANDIDATE,CONFIRMED,0.0006195888,1
candidate_1822,K00102.01,8456679,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_1823,K00102.02,8456679,1.0,CANDIDATE,CONFIRMED,0.9999975,0
candidate_1849,K08159.01,8608544,0.0,CANDIDATE,FALSE POSITIVE,2.1682565e-31,0
candidate_1854,K01250.01,8620565,0.0,CANDIDATE,FALSE POSITIVE,5.675548e-38,0
candidate_1882,K03019.01,8709688,1.0,CANDIDATE,CONFIRMED,0.99999845,0
candidate_1889,K02963.01,8760040,1.0,CANDIDATE,CONFIRMED,0.9999999,0
candidate_1893,K04301.01,8773015,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_1895,K03741.01,8780959,0.0,CANDIDATE,FALSE POSITIVE,1.08055036e-19,0
candidate_1897,K03741.03,8780959,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_1898,K03741.04,8780959,1.0,CANDIDATE,CONFIRMED,0.9999994,0
candidate_1900,K01276.01,8804283,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_1901,K01276.02,8804283,1.0,CANDIDATE,CONFIRMED,0.9999311,0
candidate_1912,K03052.02,8827575,0.0,CANDIDATE,CONFIRMED,0.0002378693,1
